Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type,easting,northing,translation_easting,translation_northing,rotation_angle_degrees,transformed_easting,transformed_northing,error
1709121596.276937,1213,1709121596,275267040,,2,0,63.23967365251245,9.501872694325948,377.23599097324455,53.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0,224043.79105855548,7024128.54456162,0.02366956986952573,0.053519406355917454,-1.7896590520649625e-07,224043.81299873194,7024128.543861809,0.021951334314789465
1709121596.371474,1214,1709121596,370778517,,2,0,63.23967264116815,9.501872416611487,377.2412196295588,54.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0,224043.76748697297,7024128.433381702,-0.02357158251106739,-0.11117991805076599,1.6318068674081587e-07,224043.7474819721,7024128.434019787,0.020015174565137454
1709121596.4707851,1215,1709121596,469592673,,2,0,63.23967190695125,9.501870553912594,377.23913038524273,54.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0,224043.66715579716,7024128.359819575,-0.10033117581042461,-0.0735621266067028,7.984493208823551e-07,224043.56927056675,7024128.362941752,0.09793501070404673
1709121596.5679097,1216,1709121596,567185081,,2,0,63.23967168017267,9.501871012730012,377.2351980862255,51.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0,224043.6879763584,7024128.332645424,0.020820561243453994,-0.02717415150254965,-1.7672351759756566e-07,224043.70964163082,7024128.331954381,0.021676290467682272
1709121596.6736531,1217,1709121596,673230110,,2,0,63.239671660663575,9.501870551604254,377.24747246931497,54.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0,224043.66468809784,7024128.332463212,-0.023288260563276708,-0.00018221139907836914,1.897217885016289e-07,224043.6414293133,7024128.3332050815,0.02327061295834798
1709121596.7764792,1218,1709121596,775733608,,2,0,63.23967074968574,9.501871278379804,377.248580293253,53.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0,224043.6923989794,7024128.228110337,0.027710881549865007,-0.10435287561267614,-2.5293050498476077e-07,224043.72340678383,7024128.227121303,0.031023573686204862
1709121596.863266,1219,1709121596,862409258,,2,0,63.23966882311789,9.50187139333999,377.2472453315416,54.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0,224043.67975960163,7024128.013544369,-0.012639377760933712,-0.21456596814095974,4.7225967136910185e-08,224043.67396997364,7024128.013729036,0.005792572336907429
1709121596.9753056,1220,1709121596,973962538,,2,0,63.23966772928053,9.501872732178487,377.24115049119104,54.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0,224043.73638793355,7024127.886237563,0.05662833192036487,-0.12730680592358112,-4.945363514252676e-07,224043.79701520258,7024127.8843037775,0.06065810148395677
1709121597.1045449,1221,1709121597,103830587,,2,0,63.23966691195789,9.501872219113986,377.2487578979728,54.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0,224043.70287845127,7024127.797629784,-0.03350948228035122,-0.08860777877271175,2.500285347650788e-07,224043.6722264134,7024127.7986074705,0.030667626208954375
1709121597.1762378,1222,1709121597,175416354,,2,0,63.239666028893694,9.501873553430425,377.2500613785574,55.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0,224043.7612931268,7024127.693762549,0.05841467552818358,-0.10386723466217518,-5.030004786021891e-07,224043.8229580465,7024127.691795667,0.0616962798765491
1709121597.2875855,1223,1709121597,287075428,,2,0,63.23966806592442,9.50187134796861,377.2427903124317,56.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0,224043.6702553237,7024127.929604034,-0.09103780309669673,0.23584148474037647,8.031386187212775e-07,224043.57179522308,7024127.932744547,0.09851017325709165
1709121597.371236,1224,1709121597,370128522,,2,0,63.23966760990014,9.501869501690146,377.241013231914,54.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0,224043.5734035269,7024127.886882633,-0.09685179678490385,-0.04272140096873045,7.781128772421653e-07,224043.47801143274,7024127.889925286,0.09544060649606358
